fid,NO,NAME,Признак 1,Признак 2,Признак 3,Признак 4,Признак 5,Признак 6,Признак 7,Признак 8,Признак 9,Признак 10,Признак 11,Признак 12,Признак 13,Признак 14,Признак 15,Признак 16,Признак 17,Признак 18,Признак 19,Признак 20,Признак 21,Признак 22,x,y
1,1010101,Арбат,244,81,2,155,6,0,0,0,0,0,0,31,14634,3870,1519,1650,1794,10,156.408,5128,11.47,0.339489305140708,4181467,7500610
2,1010102,Арбат,162,70,0,87,3,2,90,0,0,90,0,32,9373,3485,787,1164,1071,9.0910056076937,391.5,4450,2.736,0.221212434162966,4181762,7501171
3,1010103,Арбат,754,208,16,528,2,0,50,0,0,50,0,248,22828,3033,2297,6012,3349,5.63898653429809,4983.55,8265,0.672,0.252782379958562,4180437,7500471
4,1010104,Арбат,342,109,19,210,3,1,20,0,0,20,0,179,14025,2704,1366,3126,1907,6.03107556490713,3287.25,3389,0.58,0.285639393372028,4179491,7501390
5,1010105,Арбат,245,66,10,166,3,0,0,0,0,0,0,136,12650,2744,1270,2286,1651,6.28595593076125,2565,3544,0.644,0.270256997871992,4180315,7501167
6,1010106,Арбат,463,18,6,435,4,0,0,0,0,0,0,57,11510,3807,764,3120,1284,7.67488163214644,1982.128,2940,0.648,0.260862781301096,4178556,7499809
7,1010107,Арбат,411,75,3,330,3,0,100,0,0,100,0,120,18812,5782,1641,3186,2272,9.34282102484805,4492.158,4620,0.506,0.249337204205634,4178511,7500526
8,1010108,Арбат,709,271,19,417,2,0,0,0,0,0,0,328,25722,4811,2448,6222,3485,8.44851566122776,3475.356,10085,1.003,0.256999152529624,4179439,7500153
9,1010109,Арбат,205,32,0,172,0,1,0,0,0,0,0,30,8829,2709,785,1410,1020,6.01185103865358,1298.768,1663,0.785,0.34438889204016,4178653,7501160
10,1010201,Басманный,380,246,6,128,0,0,100,0,0,100,0,54,8837,1750,747,2604,1281,7.43615614755351,2274.75,1484,0.563,0.340804788826073,4192000,7506262
11,1010202,Басманный,556,389,2,165,0,0,0,0,0,0,0,133,14495,36278,0,4134,689,6.27668343800394,3885,4022,0.177,0.0871379790059441,4191195,7504984
12,1010203,Басманный,70,18,0,52,0,0,0,0,0,0,0,113,11061,1841,1354,1098,1537,5.81305391445204,6496,2055,0.237,0.17974505905742,4191768,7504419
13,1010204,Басманный,622,282,4,336,0,0,0,0,0,0,0,42,15175,2110,1514,3984,2178,8.46598875321315,5691.75,2650,0.383,0.261096292744328,4192795,7505974
14,1010205,Басманный,454,277,2,175,0,0,0,0,0,0,0,151,16072,1773,1778,3630,2383,5.28124398332743,7938,1963,0.3,0.240682759317241,4192519,7505120
15,1010206,Басманный,380,183,0,197,0,0,0,0,0,0,0,50,5451,1244,271,2580,701,5.53220359095377,1714.5,1136,0.409,0.245921768110858,4191824,7505659
16,1010207,Басманный,449,121,6,322,0,0,0,0,0,0,0,113,6399,2189,140,3372,702,7.135901458835,585,2006,1.2,0.270937861829409,4191357,7506047
17,1010208,Басманный,436,162,10,264,0,0,0,0,0,0,0,155,9742,10965,0,3546,591,6.12348041291092,3442.632,1846,0.172,0.111749125293649,4190355,7505892
18,1010209,Басманный,241,88,5,148,0,0,0,0,0,0,0,101,6512,2169,382,2052,724,5.81456394394517,141.5,2798,5.117,0.246300391222997,4190963,7506436
19,1010210,Басманный,1108,269,8,831,0,0,940,0,0,940,0,87,17884,33528,0,7170,2135,8.62224711546811,7157.022,5975,0.298,0.162579684986821,4189518,7505439
20,1010211,Басманный,443,309,2,130,0,2,100,100,0,0,0,98,15254,33154,0,3246,641,6.96480158684734,445.5,5265,1.439,0.112249365204448,4190237,7503571
21,1010212,Басманный,392,123,1,268,0,0,100,0,0,100,0,83,8835,36414,0,2850,575,6.08031696247192,3757.5,1826,0.153,0.102982000537297,4190725,7505407
22,1010213,Басманный,616,201,17,398,0,0,0,0,0,0,0,110,14886,2847,1280,4356,2006,8.45272765049602,3163.5,4631,0.634,0.257360959651036,4189315,7504412
23,1010214,Басманный,226,52,4,166,2,2,0,0,0,0,0,16,6993,1087,742,1452,984,7.30546955602976,2655,3685,0.371,0.155205047318612,4186995,7503789
24,1010215,Басманный,265,73,8,184,0,0,0,0,0,0,0,113,8108,1006,806,2268,1184,5.46666657,672.75,3803,1.76,0.264536669831872,4186231,7503776
25,1010216,Басманный,282,103,3,176,0,0,0,0,0,0,0,177,12018,2882,1064,2754,1523,7.29678767582749,2057.272,3053,0.74,0.298027189159403,4189517,7503545
26,1010217,Басманный,787,99,2,685,0,1,100,0,0,100,0,109,19725,1842,2084,5376,3080,6.21445940577121,5916.636,4215,0.521,0.303998288134315,4188193,7503388
27,1010218,Басманный,376,204,2,170,0,0,0,0,0,0,0,64,10961,1622,1116,2640,1556,6.85393475205796,3159,2096,0.493,0.296098953377736,4188905,7503711
28,1010219,Басманный,1125,717,10,398,0,0,250,0,0,250,0,192,28503,40158,0,7902,1567,9.65931104628357,9463.566,5051,0.166,0.107960513597169,4190303,7504560
29,1010220,Басманный,408,45,4,359,0,0,0,0,0,0,0,163,14665,30117,0,3426,571,6.67288011549849,1785.022,4171,0.32,0.0958693570977407,4189675,7502627
30,1010221,Басманный,592,106,4,480,0,2,0,0,0,0,0,63,20503,2384,2365,3930,3020,8.67085006807683,1616.522,6476,1.868,0.373184033358204,4188423,7502525
31,1010222,Басманный,555,101,4,450,0,0,0,0,0,0,0,57,15147,2004,1578,3672,2190,6.32181565254167,1136.25,3914,1.927,0.433641898915895,4187761,7503960
32,1010223,Басманный,312,115,0,194,0,3,0,0,0,0,0,138,15056,2534,1637,2700,2087,6.02905657635291,1281.408,3527,1.629,0.434031388351404,4188577,7501276
33,1010224,Басманный,300,169,0,131,0,0,100,0,0,100,0,7,7292,2758,449,1842,856,9.26481170524109,1192.5,3141,0.718,0.197530864197531,4187465,7502657
34,1010225,Басманный,288,174,3,97,14,0,0,0,0,0,0,9,14983,3892,1552,1782,1849,10,204.75,4775,9.031,0.371303780310257,4187761,7501660
35,1010226,Басманный,373,106,7,257,3,0,0,0,0,0,0,88,10436,2562,851,2766,1312,9.84400195984957,1095.75,3209,1.197,0.304779603925896,4185595,7503432
36,1010227,Басманный,698,137,11,546,4,0,0,0,0,0,0,221,18897,3494,1648,5514,2567,6.78950459330233,3114.066,7140,0.824,0.25033971889785,4185269,7502642
37,1010228,Басманный,349,88,3,258,0,0,80,0,0,80,0,73,10458,2315,935,2532,1437,10,774.066,5682,1.856,0.222581367662598,4184628,7502186
38,1010229,Басманный,400,146,4,248,2,0,0,0,0,0,0,103,12366,2859,1082,3018,1585,7.73319003142899,2364.566,6640,0.67,0.176021809379819,4185032,7501535
39,1010230,Басманный,246,56,7,181,0,2,0,0,0,0,0,120,8449,1092,860,2196,1226,5.49700158026779,830.316,2135,1.477,0.413446661333902,4185630,7501850
40,1010231,Басманный,206,90,8,105,2,1,0,0,0,0,0,210,12460,2136,1305,2496,1721,5.5,1650.022,3183,1.043,0.356091902747391,4185898,7501353
41,1010232,Басманный,306,76,0,230,0,0,50,0,0,50,0,156,12279,3476,1005,2772,1517,6.41463518957952,2322,2902,0.653,0.290390505359877,4186041,7502752
42,1010233,Басманный,469,156,6,307,0,0,84,0,0,84,0,254,15908,2463,1518,4338,2325,6.30508384108432,3660.75,4274,0.635,0.29301490280097,4186585,7503189
