start_district_nm,end_district_nm,transport_type,vehicle_type,trip_cnt,trip_dur
Академический,Академический,lt,,,9.0
Академический,Академический,lt,,269.0,
Академический,Алексеевский,lt,,,38.0
Академический,Алексеевский,lt,,10.0,
Академический,Алтуфьевский,lt,,,47.0
Академический,Алтуфьевский,lt,,1.0,
Академический,Арбат,lt,,,22.0
Академический,Арбат,lt,,47.0,
Академический,Аэропорт,lt,,,31.0
Академический,Аэропорт,lt,,30.0,
Академический,Бабушкинский,lt,,,46.0
Академический,Бабушкинский,lt,,2.0,
Академический,Басманный,lt,,,25.0
Академический,Басманный,lt,,32.0,
Академический,Беговой,lt,,,30.0
Академический,Беговой,lt,,16.0,
Академический,Бекасово,lt,,,71.0
Академический,Бекасово,lt,,4.0,
Академический,Бескудниковский,lt,,,43.0
Академический,Бескудниковский,lt,,5.0,
Академический,Бибирево,lt,,,45.0
Академический,Бибирево,lt,,2.0,
Академический,Бирюлёво Восточное,lt,,,43.0
Академический,Бирюлёво Восточное,lt,,7.0,
Академический,Бирюлёво Западное,lt,,,35.0
Академический,Бирюлёво Западное,lt,,2.0,
Академический,Богородское,lt,,,40.0
Академический,Богородское,lt,,1.0,
Академический,Братеево,lt,,,32.0
Академический,Братеево,lt,,2.0,
Академический,Бутырский,lt,,,37.0
Академический,Бутырский,lt,,12.0,
Академический,Вешняки,lt,,,41.0
Академический,Вешняки,lt,,2.0,
Академический,Внуково,lt,,,42.0
Академический,Внуково,lt,,6.0,
Академический,Войковский,lt,,,37.0
Академический,Войковский,lt,,13.0,
Академический,Вороново,lt,,,67.0
Академический,Вороново,lt,,4.0,
Академический,Восточное Дегунино,lt,,,42.0
Академический,Восточное Дегунино,lt,,2.0,
Академический,Восточное Измайлово,lt,,,50.0
Академический,Восточное Измайлово,lt,,1.0,
Академический,Выхино-Жулебино,lt,,,27.0
Академический,Выхино-Жулебино,lt,,21.0,
Академический,Гагаринский,lt,,,11.0
Академический,Гагаринский,lt,,125.0,
Академический,Головинский,lt,,,40.0
Академический,Головинский,lt,,3.0,
Академический,Гольяново,lt,,,46.0
Академический,Гольяново,lt,,2.0,
Академический,Даниловский,lt,,,14.0
Академический,Даниловский,lt,,70.0,
Академический,Дмитровский,lt,,,41.0
Академический,Дмитровский,lt,,2.0,
Академический,Донской,lt,,,14.0
Академический,Донской,lt,,77.0,
Академический,Дорогомилово,lt,,,24.0
Академический,Дорогомилово,lt,,45.0,
Академический,Замоскворечье,lt,,,23.0
Академический,Замоскворечье,lt,,26.0,
Академический,Западное Дегунино,lt,,,54.0
Академический,Западное Дегунино,lt,,4.0,
Академический,Зюзино,lt,,,26.0
Академический,Зюзино,lt,,4.0,
Академический,Зябликово,lt,,,32.0
Академический,Зябликово,lt,,1.0,
Академический,Ивановское,lt,,,33.0
Академический,Ивановское,lt,,14.0,
Академический,Измайлово,lt,,,28.0
Академический,Измайлово,lt,,9.0,
Академический,Капотня,lt,,,45.0
Академический,Капотня,lt,,2.0,
Академический,Коммунарка,lt,,,27.0
Академический,Коммунарка,lt,,42.0,
Академический,Коньково,lt,,,16.0
Академический,Коньково,lt,,42.0,
Академический,Коптево,lt,,,39.0
Академический,Коптево,lt,,5.0,
Академический,Косино-Ухтомский,lt,,,32.0
Академический,Косино-Ухтомский,lt,,5.0,
Академический,Котловка,lt,,,34.0
Академический,Котловка,lt,,11.0,
Академический,Краснопахорский,lt,,,54.0
Академический,Краснопахорский,lt,,4.0,
Академический,Красносельский,lt,,,28.0
Академический,Красносельский,lt,,26.0,
Академический,Крылатское,lt,,,34.0
Академический,Крылатское,lt,,18.0,
Академический,Крюково,lt,,,102.0
Академический,Крюково,lt,,2.0,
Академический,Кузьминки,lt,,,21.0
Академический,Кузьминки,lt,,3.0,
Академический,Кунцево,lt,,,33.0
Академический,Кунцево,lt,,40.0,
Академический,Куркино,lt,,,54.0
Академический,Куркино,lt,,3.0,
Академический,Левобережный,lt,,,40.0
Академический,Левобережный,lt,,18.0,
Академический,Лефортово,lt,,,23.0
Академический,Лефортово,lt,,20.0,
Академический,Лианозово,lt,,,53.0
Академический,Лианозово,lt,,3.0,
Академический,Ломоносовский,lt,,,26.0
Академический,Ломоносовский,lt,,2.0,
Академический,Лосиноостровский,lt,,,51.0
Академический,Лосиноостровский,lt,,3.0,
Академический,Люблино,lt,,,30.0
Академический,Люблино,lt,,10.0,
Академический,Марфино,lt,,,45.0
Академический,Марфино,lt,,1.0,
Академический,Марьина Роща,lt,,,37.0
Академический,Марьина Роща,lt,,9.0,
Академический,Марьино,lt,,,44.0
Академический,Марьино,lt,,2.0,
Академический,Матушкино,lt,,,71.0
Академический,Матушкино,lt,,2.0,
Академический,Метрогородок,lt,,,40.0
Академический,Метрогородок,lt,,2.0,
Академический,Мещанский,lt,,,29.0
Академический,Мещанский,lt,,31.0,
Академический,Митино,lt,,,52.0
Академический,Митино,lt,,5.0,
Академический,Можайский,lt,,,29.0
Академический,Можайский,lt,,40.0,
Академический,Молжаниновский,lt,,,55.0
Академический,Молжаниновский,lt,,8.0,
Академический,Москворечье-Сабурово,lt,,,26.0
Академический,Москворечье-Сабурово,lt,,5.0,
Академический,Нагатино-Садовники,lt,,,20.0
Академический,Нагатино-Садовники,lt,,13.0,
Академический,Нагатинский Затон,lt,,,25.0
Академический,Нагатинский Затон,lt,,2.0,
Академический,Нагорный,lt,,,26.0
Академический,Нагорный,lt,,5.0,
Академический,Некрасовка,lt,,,32.0
Академический,Некрасовка,lt,,6.0,
Академический,Нижегородский,lt,,,20.0
Академический,Нижегородский,lt,,9.0,
Академический,Ново-Переделкино,lt,,,46.0
Академический,Ново-Переделкино,lt,,3.0,
Академический,Новогиреево,lt,,,37.0
Академический,Новогиреево,lt,,1.0,
Академический,Новокосино,lt,,,33.0
Академический,Новокосино,lt,,4.0,
Академический,Обручевский,lt,,,14.0
Академический,Обручевский,lt,,64.0,
Академический,Орехово-Борисово Северное,lt,,,30.0
Академический,Орехово-Борисово Северное,lt,,2.0,
Академический,Орехово-Борисово Южное,lt,,,35.0
Академический,Орехово-Борисово Южное,lt,,4.0,
Академический,Останкинский,lt,,,41.0
Академический,Останкинский,lt,,7.0,
Академический,Отрадное,lt,,,49.0
Академический,Отрадное,lt,,5.0,
Академический,Очаково-Матвеевское,lt,,,28.0
Академический,Очаково-Матвеевское,lt,,37.0,
Академический,Перово,lt,,,24.0
Академический,Перово,lt,,11.0,
Академический,Печатники,lt,,,14.0
Академический,Печатники,lt,,23.0,
Академический,Покровское-Стрешнево,lt,,,37.0
Академический,Покровское-Стрешнево,lt,,17.0,
Академический,Преображенское,lt,,,32.0
Академический,Преображенское,lt,,10.0,
Академический,Пресненский,lt,,,26.0
Академический,Пресненский,lt,,89.0,
Академический,Проспект Вернадского,lt,,,27.0
Академический,Проспект Вернадского,lt,,7.0,
Академический,Раменки,lt,,,22.0
Академический,Раменки,lt,,55.0,
Академический,Ростокино,lt,,,41.0
Академический,Ростокино,lt,,2.0,
Академический,Рязанский,lt,,,23.0
Академический,Рязанский,lt,,9.0,
Академический,Савёлки,lt,,,66.0
Академический,Савёлки,lt,,1.0,
Академический,Савёловский,lt,,,43.0
Академический,Савёловский,lt,,2.0,
Академический,Свиблово,lt,,,49.0
Академический,Свиблово,lt,,2.0,
Академический,Северное Бутово,lt,,,35.0
Академический,Северное Бутово,lt,,2.0,
Академический,Северное Измайлово,lt,,,35.0
Академический,Северное Измайлово,lt,,9.0,
Академический,Северное Медведково,lt,,,50.0
Академический,Северное Медведково,lt,,2.0,
Академический,Северное Тушино,lt,,,49.0
Академический,Северное Тушино,lt,,2.0,
Академический,Северный,lt,,,56.0
Академический,Северный,lt,,8.0,
Академический,Силино,lt,,,68.0
Академический,Силино,lt,,1.0,
Академический,Сокол,lt,,,33.0
Академический,Сокол,lt,,7.0,
Академический,Соколиная Гора,lt,,,36.0
Академический,Соколиная Гора,lt,,6.0,
Академический,Сокольники,lt,,,36.0
Академический,Сокольники,lt,,7.0,
Академический,Солнцево,lt,,,32.0
Академический,Солнцево,lt,,3.0,
Академический,Старое Крюково,lt,,,86.0
Академический,Старое Крюково,lt,,1.0,
Академический,Строгино,lt,,,36.0
Академический,Строгино,lt,,21.0,
Академический,Таганский,lt,,,23.0
Академический,Таганский,lt,,46.0,
Академический,Тверской,lt,,,26.0
Академический,Тверской,lt,,85.0,
Академический,Текстильщики,lt,,,23.0
Академический,Текстильщики,lt,,3.0,
Академический,Тимирязевский,lt,,,41.0
Академический,Тимирязевский,lt,,9.0,
Академический,Троицк,lt,,,39.0
Академический,Троицк,lt,,14.0,
Академический,Тропарёво-Никулино,lt,,,24.0
Академический,Тропарёво-Никулино,lt,,11.0,
Академический,Тёплый Стан,lt,,,23.0
Академический,Тёплый Стан,lt,,13.0,
Академический,Фили-Давыдково,lt,,,25.0
Академический,Фили-Давыдково,lt,,8.0,
Академический,Филимонковский,lt,,,39.0
